ville,adresse,type,surface,operation,prix_original,prix_corrected,reason
Casablanca,Errahma,Terrain,48.9,à vendre,1200,59000,"Original 1,200 MAD < market floor (1,000–10,000 MAD/m² × 48.9 m²)"
Tanger,Aouama Gharbia,Appartement,49.7,à vendre,60000,2982000,"Original 60,000 MAD < market floor (8,500–30,000 MAD/m² × 49.7 m²)"
Oujda,Sidi Yahya,Terrain,49.8,à vendre,1,107000,"Original 1 MAD < market floor (300–4,000 MAD/m² × 49.8 m²)"
Temara,Harhoura,Terrain,50.3,à vendre,9600,108000,"Original 9,600 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Casablanca,Ain Sebaa,Local,49.9,à vendre,90000,1073000,"Original 90,000 MAD < market floor (8,000–35,000 MAD/m² × 49.9 m²)"
Agadir,Autre secteur,Bureau,50.3,à vendre,15500,780000,"Original 15,500 MAD < market floor (8,000–30,000 MAD/m² × 50.3 m²)"
Marrakech,Guéliz,Bureau,49.0,à vendre,700,931000,"Original 700 MAD < market floor (8,000–30,000 MAD/m² × 49.0 m²)"
Marrakech,Guéliz,Appartement,49.0,à vendre,400,1274000,"Original 400 MAD < market floor (10,000–42,000 MAD/m² × 49.0 m²)"
Tifelt,Toute la ville,Appartement,50.3,à vendre,68000,3420000,"Original 68,000 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Ben Guerir,Toute la ville,Maison,50.3,à vendre,18000,905000,"Original 18,000 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Tanger,Ben Dibane,Terrain,48.7,à vendre,10300,105000,"Original 10,300 MAD < market floor (300–4,000 MAD/m² × 48.7 m²)"
Sidi Yahya Zaer,Toute la ville,Terrain,50.3,à vendre,300,15000,"Original 300 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Meknès,Autre secteur,Terrain,50.3,à vendre,10000,108000,"Original 10,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Kénitra,Autre secteur,Maison,50.0,à vendre,200,775000,"Original 200 MAD < market floor (6,000–25,000 MAD/m² × 50.0 m²)"
Marrakech,Es Saada,Appartement,50.2,à vendre,54,1305000,"Original 54 MAD < market floor (10,000–42,000 MAD/m² × 50.2 m²)"
Oujda,Route Jerada,Terrain,110.0,à vendre,2650,292000,"Original 2,650 MAD < market floor (300–4,000 MAD/m² × 110.0 m²)"
Oued Zem,Toute la ville,Terrain,50.3,à vendre,50,108000,"Original 50 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Kénitra,Al Maghrib Al Arabi,Appartement,50.0,à vendre,530,1075000,"Original 530 MAD < market floor (8,000–35,000 MAD/m² × 50.0 m²)"
Casablanca,Ain Sebaa,Terrain,49.9,à vendre,8000,399000,"Original 8,000 MAD < market floor (1,000–10,000 MAD/m² × 49.9 m²)"
Ait Melloul,Toute la ville,Terrain,50.3,à vendre,13,108000,"Original 13 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Mohammedia,Wafa,Appartement,50.1,à vendre,68,1077000,"Original 68 MAD < market floor (8,000–35,000 MAD/m² × 50.1 m²)"
Safi,Hay Riyad,Appartement,50.3,à vendre,777,1081000,"Original 777 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Tétouan,Tamouda,Terrain,50.3,à vendre,4700,236000,"Original 4,700 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Oued Amlil,Toute la ville,Terrain,50.3,à vendre,4000,201000,"Original 4,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Bouskoura,Victoria,Terrain,50.3,à vendre,350,18000,"Original 350 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
El Jadida,Autre secteur,Terrain,50.3,à vendre,45,108000,"Original 45 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
El Jebha,Toute la ville,Villa,50.5,à vendre,100000,1212000,"Original 100,000 MAD < market floor (8,000–40,000 MAD/m² × 50.5 m²)"
Kénitra,El Haddada,Appartement,70.0,à vendre,1,1505000,"Original 1 MAD < market floor (8,000–35,000 MAD/m² × 70.0 m²)"
Béni Mellal,Toute la ville,Appartement,50.3,à vendre,2800,1081000,"Original 2,800 MAD < market floor (8,000–35,000 MAD/m² × 50.3 m²)"
Casablanca,Autre secteur,Bureau,80.0,à vendre,1,2280000,"Original 1 MAD < market floor (12,000–45,000 MAD/m² × 80.0 m²)"
Mohammedia,Monica,Appartement,50.1,à vendre,110000,1077000,"Original 110,000 MAD < market floor (8,000–35,000 MAD/m² × 50.1 m²)"
Kénitra,El Haouzia,Maison,50.0,à vendre,150,775000,"Original 150 MAD < market floor (6,000–25,000 MAD/m² × 50.0 m²)"
Meknès,Zitoune,Terrain,50.3,à vendre,600,30000,"Original 600 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Tanger,Mesnana,Appartement,60.0,à vendre,1,1155000,"Original 1 MAD < market floor (8,500–30,000 MAD/m² × 60.0 m²)"
Youssoufia,Toute la ville,Terrain,50.3,à vendre,50,108000,"Original 50 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Casablanca,2 Mars,Autre,50.3,à vendre,120000,1434000,"Original 120,000 MAD < market floor (12,000–45,000 MAD/m² × 50.3 m²)"
Berrechid,Toute la ville,Terrain,50.3,à vendre,12000,108000,"Original 12,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
Salé,Toute la ville,Appartement,48.6,à vendre,10,1045000,"Original 10 MAD < market floor (8,000–35,000 MAD/m² × 48.6 m²)"
Casablanca,Errahma,Appartement,48.9,à vendre,7500,367000,"Original 7,500 MAD < market floor (12,000–45,000 MAD/m² × 48.9 m²)"
Temara,Ain Atig,Maison,50.3,à vendre,200,780000,"Original 200 MAD < market floor (6,000–25,000 MAD/m² × 50.3 m²)"
Rabat,Autre secteur,Terrain,49.8,à vendre,12000,598000,"Original 12,000 MAD < market floor (800–8,000 MAD/m² × 49.8 m²)"
Marrakech,Autre secteur,Terrain,8200.0,à vendre,500000,30750000,"Original 500,000 MAD < market floor (500–7,000 MAD/m² × 8200.0 m²)"
Casablanca,Zone Industrielle,Terrain,50.3,à vendre,1500,75000,"Original 1,500 MAD < market floor (1,000–10,000 MAD/m² × 50.3 m²)"
Tanger,Aouama Gharbia,Terrain,49.7,à vendre,8000,398000,"Original 8,000 MAD < market floor (300–4,000 MAD/m² × 49.7 m²)"
Salé,Toute la ville,Terrain,48.6,à vendre,750,36000,"Original 750 MAD < market floor (300–4,000 MAD/m² × 48.6 m²)"
Tanger,Achakar,Terrain,320.0,à vendre,4200,1344000,"Original 4,200 MAD < market floor (300–4,000 MAD/m² × 320.0 m²)"
Fès,Autre secteur,Appartement,50.2,à vendre,70000,653000,"Original 70,000 MAD < market floor (6,000–20,000 MAD/m² × 50.2 m²)"
Casablanca,Ain Sebaa,Appartement,75.0,à vendre,1,2138000,"Original 1 MAD < market floor (12,000–45,000 MAD/m² × 75.0 m²)"
Tanger,Sania,Terrain,100.0,à vendre,3000,300000,"Original 3,000 MAD < market floor (300–4,000 MAD/m² × 100.0 m²)"
Tanger,Autre secteur,Terrain,100.0,à vendre,120,215000,"Original 120 MAD < market floor (300–4,000 MAD/m² × 100.0 m²)"
,Meknès,Villa,61.4,à vendre,460000,1474000,"Original 460,000 MAD < market floor (8,000–40,000 MAD/m² × 61.4 m²)"
Moulay Abdallah,Toute la ville,Terrain,50.3,à vendre,4000,201000,"Original 4,000 MAD < market floor (300–4,000 MAD/m² × 50.3 m²)"
