ville,adresse,type,date,prix,surface,operation,description,surface_predicted,is_placeholder,price_label,label_reason,prix_normalise,prix_m2
rabat,Océan,Appartement,28/03/2026,2880000,120.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 120 m² Rabat  « Océan »",,False,total,fits total range with realistic per-m² ratio,2880000.0,24000.0
rabat,Non spécifié,Appartement,05/03/2026,620000,68.0,à vendre,"2 chambre, avec Garage. Appartement  2 pièces 68 m² Rabat",,False,total,fits total range with realistic per-m² ratio,620000.0,9117.64705882353
rabat,Agdal,Appartement,25/02/2026,2500000,103.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 103 m² Rabat  « Agdal »",,True,total,fits total range with realistic per-m² ratio,2500000.0,24271.844660194176
rabat,Hassan,Appartement,04/02/2026,1672000,88.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 88 m² Rabat  « Hassan »",,False,total,fits total range with realistic per-m² ratio,1672000.0,19000.0
fès,Mont Fleuri,Appartement,23/04/2026,340000,86.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 86 m² Fès  « Mont Fleuri »",,False,total,fits total range with realistic per-m² ratio,340000.0,3953.4883720930234
fès,Centre,Appartement,13/04/2026,1100000,113.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 113 m² Fès  « Centre »",,True,total,fits total range with realistic per-m² ratio,1100000.0,9734.513274336283
fès,Tghat,Appartement,04/04/2026,480000,78.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 78 m² Fès  « Tghat »",,False,total,fits total range with realistic per-m² ratio,480000.0,6153.846153846154
fès,Mont Fleuri 2,Appartement,25/03/2026,520000,98.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 98 m² Fès  « Mont Fleuri 2 »",,False,total,fits total range with realistic per-m² ratio,520000.0,5306.122448979592
fès,Non spécifié,Appartement,25/03/2026,1050000,145.0,à vendre,"3 chambre, 3 salon, avec Garage. Appartement  6 pièces 145 m² Fès",,False,total,fits total range with realistic per-m² ratio,1050000.0,7241.379310344828
fès,Hay Saada,Appartement,23/03/2026,550000,155.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 155 m² Fès  « Hay Saada »",,True,total,fits total range with realistic per-m² ratio,550000.0,3548.3870967741937
fès,Narjis,Appartement,24/02/2026,8000000,130.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 130 m² Fès  « Narjis »",,False,flag,"total range OK but implied 61,538 MAD/m² is unrealistic",8000000.0,61538.46153846154
fès,Mont Fleuri,Appartement,24/02/2026,450000,130.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 130 m² Fès  « Mont Fleuri »",,True,total,fits total range with realistic per-m² ratio,450000.0,3461.5384615384614
fès,Mont Fleuri,Appartement,14/02/2026,390000,81.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 81 m² Fès  « Mont Fleuri »",,False,total,fits total range with realistic per-m² ratio,390000.0,4814.814814814815
fès,Saies,Appartement,11/02/2026,820000,129.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement meublé 4 pièces 129 m² Fès  « Saies »",,False,total,fits total range with realistic per-m² ratio,820000.0,6356.589147286822
fès,Route De Meknes,Appartement,08/02/2026,480000,99.0,à vendre,"3 chambre, 1 salon, avec Garage. Appartement  4 pièces 99 m² Fès  « Route De Meknes »",,False,total,fits total range with realistic per-m² ratio,480000.0,4848.484848484848
fès,Non spécifié,Appartement,06/02/2026,75000,50.0,à vendre,"1 chambre, 2 salon. Appartement  3 pièces 50 m² Fès",,True,flag,prix below floor and doesn't fit per_m2,75000.0,1500.0
fès,Non spécifié,Appartement,05/02/2026,950000,147.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 147 m² Fès",,True,total,fits total range with realistic per-m² ratio,950000.0,6462.585034013606
fès,Narjis,Appartement,02/02/2026,540000,90.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 90 m² Fès  « Narjis »",,False,total,fits total range with realistic per-m² ratio,540000.0,6000.0
marrakech,Hay Izdihar,Appartement,04/05/2026,1000000,82.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 82 m² Marrakech  « Hay Izdihar »",,True,total,fits total range with realistic per-m² ratio,1000000.0,12195.121951219513
marrakech,Mabrouka,Appartement,04/05/2026,1300000,75.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 75 m² Marrakech  « Mabrouka »",,True,total,fits total range with realistic per-m² ratio,1300000.0,17333.333333333332
marrakech,M'hamid,Appartement,26/04/2026,500000,54.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 54 m² Marrakech  « M'hamid »",,True,total,fits total range with realistic per-m² ratio,500000.0,9259.25925925926
