iter	Passed	Remaining
845	58331	148517
846	58406	148465
847	58496	148449
848	58594	148454
849	58683	148435
850	58765	148398
851	58822	148298
852	58898	148247
853	58967	148177
854	59022	148073
855	59088	147996
856	59150	147911
857	59206	147808
858	59251	147681
859	59303	147569
860	59360	147471
861	59417	147372
862	59483	147296
863	59552	147228
864	59626	147170
865	59658	147011
866	59727	146941
867	59802	146888
868	59876	146830
869	59952	146780
870	60020	146708
871	60094	146653
872	60163	146584
873	60233	146518
874	60308	146462
875	60381	146404
876	60453	146343
877	60559	146362
878	60644	146333
879	60716	146272
880	60791	146215
881	60865	146159
882	60933	146087
883	60997	146006
884	61067	145942
885	61129	145855
886	61200	145790
887	61273	145732
888	61348	145676
889	61415	145602
890	61490	145548
891	61568	145500
892	61630	145413
893	61703	145355
894	61778	145299
895	61855	145249
896	61916	145161
897	61980	145081
898	62045	145003
899	62107	144917
900	62180	144858
901	62253	144798
902	62316	144714
903	62375	144621
904	62447	144560
905	62521	144503
906	62607	144472
907	62649	144343
908	62705	144243
909	62772	144170
910	62832	144080
911	62908	144027
912	62986	143978
913	63071	143947
914	63147	143892
915	63233	143862
916	63304	143799
917	63377	143739
918	63452	143683
919	63529	143631
920	63589	143542
921	63659	143474
922	63730	143411
923	63806	143356
924	63860	143254
925	63918	143161
926	63979	143073
927	64045	142997
928	64115	142930
929	64170	142830
930	64229	142739
931	64286	142643
932	64344	142550
933	64403	142460
934	64468	142381
935	64540	142320
936	64617	142268
937	64678	142181
938	64749	142117
939	64807	142025
940	64879	141962
941	64939	141874
942	65018	141826
943	65083	141750
944	65139	141653
945	65203	141574
946	65275	141509
947	65349	141452
948	65424	141397
949	65498	141338
950	65580	141298
951	65648	141226
952	65710	141143
953	65770	141054
954	65800	140903
955	65866	140827
956	65932	140752
957	65965	140606
958	66036	140542
959	66109	140483
960	66164	140384
961	66220	140288
962	66273	140185
963	66338	140108
964	66405	140037
965	66437	139889
966	66511	139831
967	66589	139782
968	66664	139726
969	66734	139660
970	66801	139588
971	66874	139527
972	66937	139448
973	66988	139341
974	67060	139280
975	67134	139222
976	67200	139147
977	67275	139091
978	67345	139024
979	67476	139084
980	67607	139142
981	67713	139151
982	67769	139055
983	67834	138978
984	67907	138918
985	67982	138860
986	68014	138715
987	68086	138654
988	68118	138509
989	68191	138449
990	68267	138394
991	68340	138334
992	68412	138270
993	68487	138214
994	68563	138159
995	68634	138095
996	68705	138030
997	68777	137968
998	68810	137827
999	68884	137769
1000	68927	137648
1001	69009	137606
1002	69075	137530
1003	69149	137473
1004	69223	137414
1005	69296	137353
1006	69367	137288
1007	69452	137251
1008	69549	137237
1009	69634	137200
1010	69713	137151
1011	69812	137141
1012	69939	137187
1013	70012	137125
1014	70099	137091
1015	70226	137134
1016	70323	137119
1017	70443	137149
1018	70565	137184
1019	70684	137211
1020	70785	137202
1021	70857	137139
1022	70932	137079
1023	71005	137019
1024	71078	136956
1025	71151	136893
1026	71219	136822
1027	71251	136680
1028	71312	136594
1029	71369	136502
1030	71429	136416
1031	71501	136351
1032	71578	136296
1033	71650	136232
1034	71734	136190
1035	71805	136125
1036	71882	136070
1037	71965	136026
1038	72081	136045
1039	72198	136066
1040	72294	136046
1041	72352	135955
1042	72422	135888
1043	72490	135815
1044	72563	135753
1045	72609	135640
1046	72677	135567
1047	72749	135502
1048	72822	135439
1049	72878	135346
1050	72939	135261
1051	72980	135138
1052	73025	135024
1053	73089	134945
1054	73158	134874
1055	73231	134811
1056	73302	134746
1057	73366	134667
1058	73435	134596
1059	73504	134527
1060	73580	134469
1061	73653	134406
1062	73693	134283
1063	73743	134179
1064	73801	134089
1065	73866	134012
1066	73920	133916
1067	73999	133863
1068	74078	133812
1069	74142	133734
1070	74201	133645
1071	74271	133577
1072	74344	133514
1073	74417	133452
1074	74485	133380
1075	74523	133255
1076	74597	133194
1077	74635	133070
1078	74697	132987
1079	74770	132924
1080	74847	132869
1081	74920	132807
1082	74994	132746
1083	75061	132673
1084	75130	132603
1085	75191	132519
1086	75271	132469
1087	75359	132433
1088	75440	132385
1089	75498	132294
1090	75530	132161
1091	75602	132095
1092	75676	132035
1093	75755	131983
1094	75882	132014
1095	76008	132043
1096	76123	132053
1097	76232	132052
1098	76351	132068
1099	76426	132009
1100	76487	131925
1101	76555	131852
1102	76627	131788
1103	76702	131729
1104	76779	131670
1105	76859	131619
1106	76941	131572
1107	77017	131514
1108	77101	131468
1109	77159	131380
1110	77223	131300
1111	77285	131217
1112	77345	131133
1113	77406	131048
1114	77478	130984
1115	77557	130930
1116	77638	130879
1117	77712	130818
1118	77787	130757
1119	77862	130698
1120	77938	130639
1121	78019	130588
1122	78096	130531
1123	78173	130474
1124	78250	130417
1125	78317	130343
1126	78386	130273
1127	78454	130201
1128	78536	130151
1129	78583	130045
1130	78670	130004
1131	78733	129924
1132	78809	129865
1133	78884	129804
1134	78961	129748
1135	79035	129685
1136	79110	129624
1137	79188	129569
1138	79231	129455
1139	79303	129389
1140	79365	129307
1141	79429	129229
1142	79492	129149
1143	79574	129099
1144	79653	129045
1145	79737	128999
1146	79815	128944
1147	79884	128872
1148	79958	128810
1149	80024	128734
1150	80099	128674
1151	80140	128558
1152	80218	128502
1153	80280	128420
1154	80342	128338
1155	80410	128267
1156	80486	128208
1157	80563	128150
1158	80640	128091
1159	80715	128031
1160	80793	127975
1161	80858	127898
1162	80945	127855
1163	81010	127779
1164	81075	127702
1165	81138	127623
1166	81231	127589
1167	81301	127520
1168	81366	127444
1169	81430	127364
1170	81494	127287
1171	81545	127188
1172	81616	127121
1173	81683	127047
1174	81754	126981
1175	81836	126929
1176	81917	126878
1177	81992	126817
1178	82058	126741
1179	82130	126675
1180	82196	126600
1181	82281	126554
1182	82350	126483
1183	82424	126421
1184	82486	126340
1185	82557	126272
1186	82639	126221
1187	82696	126133
1188	82772	126072
1189	82849	126014
1190	82932	125965
1191	83027	125934
1192	83113	125889
1193	83213	125865
1194	83317	125847
1195	83400	125798
1196	83474	125735
1197	83540	125659
1198	83610	125589
1199	83684	125526
1200	83764	125472
1201	83849	125424
1202	83935	125379
1203	84010	125317
1204	84085	125255
1205	84172	125211
1206	84234	125130
1207	84301	125056
1208	84373	124990
1209	84445	124924
1210	84517	124857
1211	84595	124799
1212	84670	124737
1213	84756	124691
1214	84840	124641
1215	84928	124598
1216	85014	124552
1217	85101	124508
1218	85180	124451
1219	85252	124385
1220	85312	124300
1221	85400	124257
1222	85472	124190
1223	85535	124109
1224	85596	124027
1225	85656	123943
1226	85716	123859
1227	85811	123826
1228	85930	123826
1229	86053	123832
1230	86132	123776
1231	86193	123692
1232	86303	123680
1233	86333	123554
1234	86401	123480
1235	86476	123417
1236	86550	123354
1237	86628	123295
1238	86668	123182
1239	86707	123069
1240	86782	123005
1241	86851	122934
1242	86909	122847
1243	86971	122766
1244	87041	122696
1245	87115	122632
1246	87189	122568
1247	87264	122505
1248	87347	122454
1249	87467	122453
1250	87563	122421
1251	87639	122359
1252	87716	122298
1253	87755	122185
1254	87846	122144
1255	87924	122085
1256	88040	122080
1257	88147	122061
1258	88205	121974
1259	88269	121896
1260	88342	121829
1261	88415	121763
1262	88488	121697
1263	88560	121630
1264	88636	121568
1265	88716	121511
1266	88792	121450
1267	88863	121381
1268	88926	121301
1269	88983	121213
1270	89048	121136
1271	89115	121062
1272	89187	120995
1273	89260	120929
1274	89333	120863
1275	89403	120792
1276	89466	120713
1277	89529	120633
1278	89595	120558
1279	89662	120483
1280	89736	120418
1281	89806	120349
1282	89878	120281
1283	89924	120179
1284	89998	120114
1285	90095	120080
1286	90177	120026
1287	90250	119960
1288	90337	119913
1289	90389	119818
1290	90509	119814
1291	90594	119764
1292	90662	119690
1293	90724	119610
1294	90790	119535
1295	90864	119470
1296	90937	119403
1297	90999	119322
1298	91048	119225
1299	91105	119138
1300	91164	119053
1301	91231	118978
1302	91305	118913
1303	91374	118842
1304	91442	118769
1305	91511	118698
1306	91583	118631
1307	91665	118575
1308	91739	118511
1309	91807	118439
1310	91872	118361
1311	91947	118297
1312	92018	118229
1313	92088	118159
1314	92140	118066
1315	92186	117964
1316	92259	117899
1317	92357	117864
1318	92439	117809
1319	92514	117745
1320	92591	117684
1321	92671	117626
1322	92748	117565
1323	92824	117503
1324	92898	117438
1325	92973	117373
1326	93051	117313
1327	93128	117251
1328	93185	117165
1329	93226	117059
1330	93289	116979
1331	93354	116903
1332	93445	116858
1333	93534	116812
1334	93628	116772
1335	93718	116726
1336	93809	116682
1337	93898	116636
1338	93994	116597
1339	94085	116553
1340	94134	116457
1341	94224	116411
1342	94314	116365
1343	94406	116322
1344	94499	116280
1345	94615	116265
1346	94727	116246
1347	94798	116177
1348	94855	116091
1349	94914	116006
1350	94973	115923
1351	95048	115857
1352	95145	115820
1353	95266	115811
1354	95349	115756
1355	95389	115649
1356	95466	115587
1357	95516	115492
1358	95586	115421
1359	95668	115364
1360	95741	115298
1361	95810	115226
1362	95882	115157
1363	95928	115058
1364	96004	114993
1365	96077	114927
1366	96152	114862
1367	96224	114794
1368	96285	114712
1369	96335	114617
1370	96392	114532
1371	96464	114463
1372	96537	114396
1373	96576	114289
1374	96653	114227
1375	96717	114149
1376	96772	114061
1377	96841	113989
1378	96951	113965
1379	97027	113901
1380	97101	113836
1381	97177	113772
1382	97250	113705
1383	97314	113627
1384	97343	113508
1385	97409	113433
1386	97454	113334
1387	97528	113267
1388	97596	113195
1389	97672	113131
1390	97746	113065
1391	97819	112998
1392	97893	112932
1393	97969	112868
1394	98043	112802
1395	98117	112736
1396	98180	112657
1397	98240	112575
1398	98300	112494
1399	98356	112406
1400	98422	112331
1401	98463	112228
1402	98518	112141
1403	98602	112086
1404	98672	112016
1405	98745	111948
1406	98822	111886
1407	98886	111809
1408	98916	111693
1409	98987	111624
1410	99068	111566
1411	99152	111511
1412	99252	111474
1413	99333	111416
1414	99411	111355
1415	99498	111303
1416	99652	111326
1417	99790	111331
1418	99923	111330
1419	100020	111290
1420	100095	111224
1421	100167	111156
1422	100237	111085
1423	100303	111009
1424	100360	110924
1425	100396	110816
1426	100469	110749
1427	100543	110682
1428	100607	110604
1429	100648	110501
1430	100717	110430
1431	100788	110360
1432	100862	110294
1433	100936	110228
1434	101009	110160
1435	101069	110078
1436	101104	109970
1437	101162	109885
1438	101234	109817
1439	101305	109747
1440	101361	109661
1441	101424	109583
1442	101496	109515
1443	101555	109432
1444	101613	109349
1445	101687	109282
1446	101750	109204
1447	101811	109123
1448	101885	109057
1449	101960	108991
1450	102033	108924
1451	102108	108859
1452	102178	108788
1453	102251	108721
1454	102323	108652
1455	102379	108566
1456	102413	108458
1457	102457	108360
1458	102516	108278
1459	102583	108204
1460	102657	108138
1461	102732	108072
1462	102804	108004
1463	102879	107939
1464	102954	107874
1465	103033	107812
1466	103105	107744
1467	103151	107648
1468	103205	107561
1469	103285	107501
1470	103331	107405
1471	103404	107338
1472	103479	107272
1473	103528	107180
1474	103602	107114
1475	103698	107071
1476	103785	107017
1477	103861	106953
1478	103938	106889
1479	104016	106828
1480	104091	106762
1481	104175	106705
1482	104250	106640
1483	104323	106573
1484	104382	106491
1485	104512	106481
1486	104595	106424
1487	104685	106374
1488	104756	106304
1489	104821	106229
1490	104894	106161
1491	104969	106095
1492	105046	106031
1493	105116	105961
1494	105184	105888
1495	105255	105817
1496	105325	105747
1497	105391	105673
1498	105449	105589
1499	105508	105508
1500	105580	105439
1501	105652	105371
1502	105690	105268
1503	105758	105195
1504	105806	105103
1505	105878	105034
1506	105930	104946
1507	106010	104885
1508	106082	104817
1509	106156	104750
1510	106209	104662
1511	106275	104588
1512	106317	104490
1513	106362	104395
1514	106424	104316
1515	106496	104248
1516	106552	104163
1517	106615	104087
1518	106664	103996
1519	106733	103924
1520	106771	103823
1521	106844	103755
1522	106927	103697
1523	107001	103631
1524	107074	103564
1525	107147	103496
1526	107186	103395
1527	107259	103328
1528	107315	103244
1529	107376	103165
1530	107437	103086
1531	107498	103007
1532	107555	102925
1533	107613	102843
1534	107667	102757
1535	107729	102679
1536	107767	102579
1537	107843	102514
1538	107920	102450
1539	107997	102387
1540	108073	102322
1541	108154	102263
1542	108236	102204
1543	108298	102125
1544	108335	102024
1545	108396	101946
1546	108465	101874
1547	108531	101800
1548	108590	101719
1549	108650	101641
1550	108710	101561
1551	108769	101480
1552	108827	101399
1553	108887	101320
1554	108949	101242
1555	109011	101165
1556	109071	101085
1557	109137	101011
1558	109202	100937
1559	109249	100845
1560	109323	100779
1561	109387	100703
1562	109450	100627
1563	109544	100578
1564	109666	100556
1565	109789	100535
1566	109913	100514
1567	110037	100493
1568	110113	100428
1569	110193	100367
1570	110256	100290
1571	110329	100223
1572	110419	100171
1573	110516	100124
1574	110592	100059
1575	110632	99962
1576	110702	99891
1577	110761	99811
1578	110829	99739
1579	110904	99673
1580	110978	99607
1581	111058	99545
1582	111136	99481
1583	111210	99415
1584	111285	99349
1585	111408	99326
1586	111456	99235
1587	111524	99163
1588	111598	99097
1589	111675	99032
1590	111750	98967
1591	111829	98904
1592	111908	98841
1593	111983	98775
1594	112057	98708
1595	112095	98610
1596	112168	98542
1597	112236	98470
1598	112313	98405
1599	112352	98308
1600	112426	98241
1601	112468	98146
1602	112549	98085
1603	112627	98022
1604	112725	97976
1605	112803	97913
1606	112887	97854
1607	112978	97801
1608	113112	97786
1609	113244	97770
1610	113369	97747
1611	113509	97736
1612	113617	97697
1613	113752	97683
1614	113824	97614
1615	113929	97573
1616	114011	97513
1617	114084	97444
1618	114157	97376
1619	114231	97308
1620	114305	97240
1621	114376	97170
1622	114449	97102
1623	114515	97027
1624	114575	96948
1625	114647	96879
1626	114724	96813
1627	114799	96747
1628	114847	96657
1629	114913	96584
1630	115014	96539
1631	115091	96473
1632	115164	96405
1633	115238	96337
1634	115312	96269
1635	115381	96197
1636	115454	96129
1637	115527	96061
1638	115600	95992
1639	115675	95925
1640	115750	95858
1641	115824	95791
1642	115888	95715
1643	115935	95625
1644	115996	95547
1645	116039	95454
1646	116098	95374
1647	116155	95292
1648	116211	95210
1649	116272	95132
1650	116351	95068
1651	116427	95002
1652	116502	94936
1653	116578	94869
1654	116656	94805
1655	116697	94710
1656	116756	94631
1657	116834	94566
1658	116912	94502
1659	116988	94436
1660	117044	94354
1661	117142	94305
1662	117223	94244
